t(s),Flux surface 1: solute,Flux surface 2: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
32150.418534399992,4.3935723727081944e+16,-1.321170567295566e-192,3.125522274861797e+20,5.571842636861044e-96,1.0942573908435214e-98,1.9342264210584434e+21,2.5755885868477563e+18,3.056136911053959e-100,1.8491103338641233e-103,1.0087195136888978e-96,2.2493542371314707e+21,5.572148250552134e-96,1.0196622725083685e-96
39580.50224127999,4.082685659141758e+16,-3.3313394661526572e-174,3.217237847725396e+20,1.489559497093294e-85,3.702688772675776e-88,2.2283744540748224e+21,2.575594398888967e+18,8.188866226571649e-90,6.259161149202336e-93,3.419497485033806e-86,2.5526738332462424e+21,1.4896413857555577e-85,3.456524998676679e-86
48496.60268953598,3.803636557904407e+16,-1.9122293946904253e-157,3.306098646715525e+20,4.5970915075039914e-76,1.429226835076102e-78,2.558593830561117e+21,2.5755996157243187e+18,2.532595168810694e-80,2.4169600137142816e-83,1.3225496747200345e-76,2.8917792948483837e+21,4.5973447670208696e-76,1.3368421847667974e-76
59195.92322744318,3.550797953074542e+16,-3.542292903839694e-142,3.3926765107761185e+20,2.010469374328981e-67,7.735956699547968e-70,2.9298130209449223e+21,2.575604342553066e+18,1.109755887420459e-71,1.3087799477178752e-74,7.174114221531911e-68,3.271656276365081e+21,2.010580349917725e-67,7.251475097307337e-68
72035.10787293181,3.319917992470077e+16,-2.8986964902897894e-128,3.4774286043662765e+20,1.4962909715688308e-59,7.060002028007213e-62,3.3475497547730586e+21,2.5756086588638285e+18,8.27429081537306e-64,1.1949723225867331e-66,6.562762604516297e-60,3.6978682238685377e+21,1.4963737144769817e-59,6.633363819768688e-60
87442.12944751818,3.10770374976429e+16,-1.3908568309318388e-115,3.560731428936765e+20,2.2332778791480797e-52,1.2815444500521544e-54,3.817980860746393e+21,2.575612626218047e+18,1.2370480233910258e-56,2.17022374673438e-59,1.1943574431203014e-52,4.176629616266292e+21,2.2334015839504198e-52,1.207173104643196e-52
105930.55533702181,2.9115484903105876e+16,-5.054702635621113e-104,3.642905036938422e+20,7.748633516350028e-46,5.36828544158211e-48,4.348014419019552e+21,2.5756162933487713e+18,4.298819655895374e-50,9.095844106670753e-53,5.017110342728673e-46,4.7148805390067633e+21,7.749063398315615e-46,5.070794106728907e-46
128116.66640442617,2.7293473373479576e+16,-1.754334437662046e-93,3.7242310281525114e+20,7.14048935378761e-40,5.933384921892915e-42,4.945363220313717e+21,2.575619699606786e+18,3.967255587058233e-44,1.0059275334117585e-46,5.562174140105117e-40,5.320361942828606e+21,7.140886079346312e-40,5.621508995251587e-40
154739.9996853114,2.5593692379131864e+16,-7.175133054291502e-84,3.8049665760486687e+20,1.9713682170579454e-34,1.9531045213437368e-36,5.618617593500861e+21,2.57562287735422e+18,1.0968111720821439e-38,3.3133562356240616e-41,1.8369893662094346e-34,6.001689873983094e+21,1.9714778981751512e-34,1.8565207427584915e-34
186687.99962237367,2.4001658419860204e+16,-4.185564241004781e-75,3.885355969784962e+20,1.818602290330827e-29,2.1366209549581895e-31,6.377314456154157e+21,2.5756258536680545e+18,1.0131481591792272e-33,3.6272034573140774e-36,2.0168419968315188e-29,6.768425678986315e+21,1.8187036051467435e-29,2.0382085691014466e-29
