"arc_length","solute_mu","solute_c"
0.00146,4.82853e+19,3.00821e+19
0.001464,4.81436e+19,2.98906e+19
0.001468,4.8002e+19,2.9699e+19
0.001472,4.78603e+19,2.95075e+19
0.001476,4.77186e+19,2.93159e+19
0.00148,4.75769e+19,2.91243e+19
0.001484,4.74352e+19,2.89328e+19
0.001488,4.72935e+19,2.87412e+19
0.001492,4.71519e+19,2.85497e+19
0.001496,4.70102e+19,2.83581e+19
0.0015,4.68685e+19,2.81666e+19
0.001504,4.67268e+19,2.7975e+19
0.001508,4.65851e+19,2.77835e+19
0.001512,4.64434e+19,2.75919e+19
0.001516,4.63018e+19,2.74004e+19
0.00152,4.61601e+19,2.72088e+19
0.001524,4.60184e+19,2.70172e+19
0.001528,4.58767e+19,2.68257e+19
0.001532,4.5735e+19,2.66341e+19
0.001536,4.55933e+19,2.64426e+19
0.00154,4.54516e+19,2.6251e+19
0.001544,4.531e+19,2.60595e+19
0.001548,4.51683e+19,2.58679e+19
0.001552,4.50266e+19,2.56763e+19
0.001556,4.48849e+19,2.54848e+19
0.00156,4.47432e+19,2.52932e+19
0.001564,4.46015e+19,2.51017e+19
0.001568,4.44599e+19,2.49101e+19
0.001572,4.43182e+19,2.47186e+19
0.001576,4.41765e+19,2.4527e+19
0.00158,4.40348e+19,2.43355e+19
0.001584,4.38931e+19,2.41439e+19
0.001588,4.37514e+19,2.39523e+19
0.001592,4.36098e+19,2.37608e+19
0.001596,4.34681e+19,2.35692e+19
0.0016,4.33264e+19,2.33777e+19
0.001604,4.31847e+19,2.31861e+19
0.001608,4.3043e+19,2.29946e+19
0.001612,4.29013e+19,2.2803e+19
0.001616,4.27596e+19,2.26115e+19
0.00162,4.2618e+19,2.24199e+19
0.001624,4.24763e+19,2.22283e+19
0.001628,4.23346e+19,2.20368e+19
0.001632,4.21929e+19,2.18452e+19
0.001636,4.20512e+19,2.16537e+19
0.00164,4.19095e+19,2.14621e+19
0.001644,4.17679e+19,2.12706e+19
0.001648,4.16262e+19,2.1079e+19
0.001652,4.14845e+19,2.08874e+19
0.001656,4.13428e+19,2.06959e+19
0.00166,4.12011e+19,2.05043e+19
0.001664,4.10594e+19,2.03128e+19
0.001668,4.09178e+19,2.01212e+19
0.001672,4.07761e+19,1.99297e+19
0.001676,4.06344e+19,1.97381e+19
0.00168,4.04927e+19,1.95466e+19
0.001684,4.0351e+19,1.9355e+19
0.001688,4.02093e+19,1.91635e+19
0.001692,4.00677e+19,1.89719e+19
0.001696,3.9926e+19,1.87803e+19
0.0017,3.97843e+19,1.85888e+19
0.001704,3.96426e+19,1.83972e+19
0.001708,3.95009e+19,1.82057e+19
0.001712,3.93592e+19,1.80141e+19
0.001716,3.92176e+19,1.78226e+19
0.00172,3.90759e+19,1.7631e+19
0.001724,3.89342e+19,1.74394e+19
0.001728,3.87925e+19,1.72479e+19
0.001732,3.86508e+19,1.70563e+19
0.001736,3.85091e+19,1.68648e+19
0.00174,3.83674e+19,1.66732e+19
0.001744,3.82258e+19,1.64817e+19
0.001748,3.80841e+19,1.62901e+19
0.001752,3.79424e+19,1.60986e+19
0.001756,3.78007e+19,1.5907e+19
0.00176,3.7659e+19,1.57154e+19
0.001764,3.75173e+19,1.55239e+19
0.001768,3.73757e+19,1.53323e+19
0.001772,3.7234e+19,1.51408e+19
0.001776,3.70923e+19,1.49492e+19
0.00178,3.69506e+19,1.47577e+19
0.001784,3.68089e+19,1.45661e+19
0.001788,3.66672e+19,1.43746e+19
0.001792,3.65256e+19,1.4183e+19
0.001796,3.63839e+19,1.39914e+19
0.0018,3.62422e+19,1.37999e+19
0.001804,3.61005e+19,1.36083e+19
0.001808,3.59588e+19,1.34168e+19
0.001812,3.58171e+19,1.32252e+19
0.001816,3.56754e+19,1.30337e+19
0.00182,3.55338e+19,1.28421e+19
0.001824,3.53921e+19,1.26506e+19
0.001828,3.52504e+19,1.2459e+19
0.001832,3.51087e+19,1.22674e+19
0.001836,3.4967e+19,1.20759e+19
0.00184,3.48253e+19,1.18843e+19
0.001844,3.46837e+19,1.16928e+19
0.001848,3.4542e+19,1.15012e+19
0.001852,3.44003e+19,1.13097e+19
0.001856,3.42586e+19,1.11181e+19
0.00186,3.41169e+19,1.09265e+19
0.001864,3.39752e+19,1.0735e+19
0.001868,3.38336e+19,1.05434e+19
0.001872,3.36919e+19,1.03519e+19
0.001876,3.35502e+19,1.01603e+19
0.00188,3.34085e+19,9.96877e+18
0.001884,3.32668e+19,9.77721e+18
0.001888,3.31251e+19,9.58566e+18
0.001892,3.29835e+19,9.3941e+18
0.001896,3.28418e+19,9.20255e+18
0.0019,3.27001e+19,9.011e+18
0.001904,3.25584e+19,8.81943e+18
0.001908,3.24167e+19,8.62788e+18
0.001912,3.2275e+19,8.43632e+18
0.001916,3.21334e+19,8.24477e+18
0.00192,3.19917e+19,8.05321e+18
0.001924,3.185e+19,7.86166e+18
0.001928,3.17083e+19,7.6701e+18
0.001932,3.15666e+19,7.47855e+18
0.001936,3.14249e+19,7.28699e+18
0.00194,3.12832e+19,7.09543e+18
0.001944,3.11416e+19,6.90388e+18
0.001948,3.09999e+19,6.71233e+18
0.001952,3.08582e+19,6.52077e+18
0.001956,3.07165e+19,6.32921e+18
0.00196,3.05748e+19,6.13766e+18
0.001964,3.04331e+19,5.9461e+18
0.001968,3.02915e+19,5.75455e+18
0.001972,3.01498e+19,5.56299e+18
0.001976,3.00081e+19,5.37142e+18
0.00198,2.98664e+19,5.17987e+18
0.001984,2.97247e+19,4.98831e+18
0.001988,2.9583e+19,4.79677e+18
0.001992,2.94414e+19,4.60521e+18
0.001996,2.92997e+19,4.41366e+18
0.002,3.12287e+18,4.2221e+18
0.002004,3.11663e+18,4.21366e+18
0.002008,3.11038e+18,4.20521e+18
0.002012,3.10413e+18,4.19677e+18
0.002016,3.09789e+18,4.18832e+18
0.00202,3.09164e+18,4.17988e+18
0.002024,3.0854e+18,4.17144e+18
0.002028,3.07915e+18,4.16299e+18
0.002032,3.07291e+18,4.15455e+18
0.002036,3.06666e+18,4.1461e+18
0.00204,3.06041e+18,4.13766e+18
0.002044,3.05417e+18,4.12921e+18
0.002048,3.04792e+18,4.12077e+18
0.002052,3.04168e+18,4.11233e+18
0.002056,3.03543e+18,4.10388e+18
0.00206,3.02919e+18,4.09544e+18
0.002064,3.02294e+18,4.08699e+18
0.002068,3.01669e+18,4.07855e+18
0.002072,3.01045e+18,4.07011e+18
0.002076,3.0042e+18,4.06166e+18
0.00208,2.99796e+18,4.05322e+18
0.002084,2.99171e+18,4.04477e+18
0.002088,2.98547e+18,4.03633e+18
0.002092,2.97922e+18,4.02788e+18
0.002096,2.97297e+18,4.01944e+18
0.0021,2.96673e+18,4.011e+18
0.002104,2.96048e+18,4.00255e+18
0.002108,2.95424e+18,3.99411e+18
0.002112,2.94799e+18,3.98566e+18
0.002116,2.94175e+18,3.97722e+18
0.00212,2.9355e+18,3.96878e+18
0.002124,2.92925e+18,3.96033e+18
0.002128,2.92301e+18,3.95189e+18
0.002132,2.91676e+18,3.94344e+18
0.002136,2.91052e+18,3.935e+18
0.00214,2.90427e+18,3.92655e+18
0.002144,2.89803e+18,3.91811e+18
