"arc_length","T"
0.0049725,584.188
0.004981,583.244
0.0049895,582.301
0.004998,581.358
0.0050065,580.416
0.005015,579.474
0.0050235,578.532
0.005032,577.591
0.0050405,576.65
0.005049,575.71
0.0050575,574.77
0.005066,573.831
0.0050745,572.891
0.005083,571.953
0.0050915,571.014
0.0051,570.076
0.0051085,569.139
0.005117,568.201
0.0051255,567.265
0.005134,566.328
0.0051425,565.392
0.005151,564.456
0.0051595,563.521
0.005168,562.586
0.0051765,561.652
0.005185,560.718
0.0051935,559.784
0.005202,558.851
0.0052105,557.918
0.005219,556.986
0.0052275,556.053
0.005236,555.122
0.0052445,554.19
0.005253,553.26
0.0052615,552.329
0.00527,551.399
0.0052785,550.469
0.005287,549.54
0.0052955,548.611
0.005304,547.682
0.0053125,546.754
0.005321,545.826
0.0053295,544.899
0.005338,543.972
0.0053465,543.045
0.005355,542.119
0.0053635,541.193
0.005372,540.268
0.0053805,539.343
0.005389,538.418
0.0053975,537.494
0.005406,536.57
0.0054145,535.646
0.005423,534.723
0.0054315,533.801
0.00544,532.878
0.0054485,531.957
0.005457,531.035
0.0054655,530.114
0.005474,529.193
0.0054825,528.273
0.005491,527.353
0.0054995,526.433
0.005508,525.514
0.0055165,524.595
0.005525,523.677
0.0055335,522.759
0.005542,521.841
0.0055505,520.924
0.005559,520.007
0.0055675,519.091
0.005576,518.175
0.0055845,517.259
0.005593,516.344
0.0056015,515.429
0.00561,514.515
0.0056185,513.601
0.005627,512.687
0.0056355,511.774
0.005644,510.861
0.0056525,509.948
0.005661,509.036
0.0056695,508.124
0.005678,507.213
0.0056865,506.302
0.005695,505.391
0.0057035,504.481
0.005712,503.572
0.0057205,502.662
0.005729,501.753
0.0057375,500.844
0.005746,499.936
0.0057545,499.028
0.005763,498.121
0.0057715,497.214
0.00578,496.307
0.0057885,495.401
0.005797,494.495
0.0058055,493.59
0.005814,492.684
0.0058225,491.78
0.005831,490.875
0.0058395,489.971
0.005848,489.068
0.0058565,488.165
0.005865,487.262
0.0058735,486.36
0.005882,485.458
0.0058905,484.556
0.005899,483.655
0.0059075,482.754
0.005916,481.853
0.0059245,480.953
0.005933,480.054
0.0059415,479.154
0.00595,478.256
0.0059585,477.357
0.005967,476.459
0.0059755,475.561
0.005984,474.664
0.0059925,473.767
0.006001,472.927
0.0060095,472.6
0.006018,472.272
0.0060265,471.945
0.006035,471.618
0.0060435,471.29
0.006052,470.963
0.0060605,470.636
0.006069,470.309
0.0060775,469.981
0.006086,469.654
0.0060945,469.327
0.006103,469
0.0061115,468.673
0.00612,468.345
0.0061285,468.018
0.006137,467.691
0.0061455,467.364
0.006154,467.037
0.0061625,466.71
0.006171,466.383
0.0061795,466.056
0.006188,465.729
0.0061965,465.402
0.006205,465.075
0.0062135,464.748
0.006222,464.421
0.0062305,464.094
0.006239,463.767
0.0062475,463.441
0.006256,463.114
0.0062645,462.787
0.006273,462.46
0.0062815,462.133
0.00629,461.807
0.0062985,461.48
0.006307,461.153
0.0063155,460.827
0.006324,460.5
0.0063325,460.173
0.006341,459.847
0.0063495,459.52
0.006358,459.194
0.0063665,458.867
0.006375,458.54
0.0063835,458.214
0.006392,457.887
0.0064005,457.561
0.006409,457.234
0.0064175,456.908
0.006426,456.582
0.0064345,456.255
0.006443,455.929
0.0064515,455.602
0.00646,455.276
0.0064685,454.95
0.006477,454.623
0.0064855,454.297
0.006494,453.971
0.0065025,453.645
0.006511,453.318
0.0065195,452.992
0.006528,452.666
0.0065365,452.34
0.006545,452.014
0.0065535,451.688
0.006562,451.362
0.0065705,451.035
0.006579,450.709
0.0065875,450.383
0.006596,450.057
0.0066045,449.731
0.006613,449.405
0.0066215,449.079
0.00663,448.753
0.0066385,448.427
0.006647,448.102
0.0066555,447.776
0.006664,447.45
0.0066725,447.124
0.006681,446.798
0.0066895,446.472
0.006698,446.146
0.0067065,445.821
0.006715,445.495
0.0067235,445.169
0.006732,444.844
0.0067405,444.518
0.006749,444.192
0.0067575,443.867
0.006766,443.541
0.0067745,443.215
0.006783,442.89
0.0067915,442.564
0.0068,442.239
0.0068085,441.913
0.006817,441.587
0.0068255,441.262
0.006834,440.937
0.0068425,440.611
0.006851,440.286
0.0068595,439.96
0.006868,439.635
0.0068765,439.309
0.006885,438.984
0.0068935,438.659
0.006902,438.333
0.0069105,438.008
0.006919,437.683
0.0069275,437.358
0.006936,437.032
0.0069445,436.707
0.006953,436.382
0.0069615,436.057
0.00697,435.732
0.0069785,435.406
0.006987,435.081
0.0069955,434.756
0.007004,434.419
0.0070125,434.07
0.007021,433.721
0.0070295,433.372
0.007038,433.022
0.0070465,432.673
0.007055,432.324
0.0070635,431.975
0.007072,431.626
0.0070805,431.277
0.007089,430.928
0.0070975,430.579
0.007106,430.229
0.0071145,429.88
0.007123,429.531
0.0071315,429.182
0.00714,428.833
0.0071485,428.484
0.007157,428.135
0.0071655,427.786
0.007174,427.436
0.0071825,427.087
0.007191,426.738
0.0071995,426.389
0.007208,426.04
0.0072165,425.691
0.007225,425.342
0.0072335,424.993
0.007242,424.644
0.0072505,424.294
0.007259,423.945
0.0072675,423.596
0.007276,423.247
0.0072845,422.898
0.007293,422.549
0.0073015,422.2
0.00731,421.851
0.0073185,421.502
0.007327,421.153
0.0073355,420.804
0.007344,420.455
0.0073525,420.105
0.007361,419.756
0.0073695,419.407
0.007378,419.058
0.0073865,418.709
0.007395,418.36
0.0074035,418.011
0.007412,417.662
0.0074205,417.313
0.007429,416.964
0.0074375,416.615
0.007446,416.266
0.0074545,415.917
0.007463,415.568
0.0074715,415.219
0.00748,414.87
0.0074885,414.521
0.007497,414.172
0.0075055,413.823
0.007514,413.474
0.0075225,413.124
0.007531,412.775
0.0075395,412.426
0.007548,412.077
0.0075565,411.728
0.007565,411.379
0.0075735,411.03
0.007582,410.681
0.0075905,410.332
0.007599,409.983
0.0076075,409.634
0.007616,409.285
0.0076245,408.936
0.007633,408.587
0.0076415,408.238
0.00765,407.889
0.0076585,407.54
0.007667,407.191
0.0076755,406.842
0.007684,406.493
0.0076925,406.144
0.007701,405.795
0.0077095,405.446
0.007718,405.097
0.0077265,404.748
0.007735,404.399
0.0077435,404.051
0.007752,403.702
0.0077605,403.353
0.007769,403.004
0.0077775,402.655
0.007786,402.306
0.0077945,401.957
0.007803,401.608
0.0078115,401.259
0.00782,400.91
0.0078285,400.561
0.007837,400.212
0.0078455,399.863
0.007854,399.514
0.0078625,399.165
0.007871,398.816
0.0078795,398.467
0.007888,398.118
0.0078965,397.769
0.007905,397.42
0.0079135,397.072
0.007922,396.723
0.0079305,396.374
0.007939,396.025
0.0079475,395.676
0.007956,395.327
0.0079645,394.978
0.007973,394.629
0.0079815,394.28
0.00799,393.931
0.0079985,393.582
0.008007,393.233
0.0080155,392.885
0.008024,392.536
0.0080325,392.187
0.008041,391.838
0.0080495,391.489
0.008058,391.14
0.0080665,390.791
0.008075,390.442
0.0080835,390.093
0.008092,389.744
0.0081005,389.396
0.008109,389.047
0.0081175,388.698
0.008126,388.349
0.0081345,388
0.008143,387.651
0.0081515,387.302
0.00816,386.953
0.0081685,386.605
0.008177,386.256
0.0081855,385.907
0.008194,385.558
0.0082025,385.209
0.008211,384.86
0.0082195,384.511
0.008228,384.163
0.0082365,383.814
0.008245,383.465
0.0082535,383.116
0.008262,382.767
0.0082705,382.418
0.008279,382.069
0.0082875,381.721
0.008296,381.372
0.0083045,381.023
0.008313,380.674
0.0083215,380.325
0.00833,379.976
0.0083385,379.628
0.008347,379.279
0.0083555,378.93
0.008364,378.581
0.0083725,378.232
0.008381,377.883
0.0083895,377.535
0.008398,377.186
0.0084065,376.837
0.008415,376.488
0.0084235,376.139
0.008432,375.79
0.0084405,375.442
0.008449,375.093
0.0084575,374.744
0.008466,374.395
0.0084745,374.046
0.008483,373.698
0.0084915,373.349
0.0085,373
