"arc_length","retention_mu","retention_c"
0.002516,8.94247e+23,9.17251e+23
0.0025245,9.03986e+23,9.27394e+23
0.002533,9.13865e+23,9.37685e+23
0.0025415,9.23885e+23,9.48125e+23
0.00255,9.34049e+23,9.58716e+23
0.0025585,9.4436e+23,9.69463e+23
0.002567,9.54819e+23,9.80367e+23
0.0025755,9.65429e+23,9.9143e+23
0.002584,9.76192e+23,1.00266e+24
0.0025925,9.8711e+23,1.01404e+24
0.002601,9.98187e+23,1.0256e+24
0.0026095,1.00942e+24,1.03733e+24
0.002618,1.02082e+24,1.04923e+24
0.0026265,1.03239e+24,1.0613e+24
0.002635,1.04412e+24,1.07356e+24
0.0026435,1.05603e+24,1.08599e+24
0.002652,1.06811e+24,1.09861e+24
0.0026605,1.08036e+24,1.11141e+24
0.002669,1.09279e+24,1.12441e+24
0.0026775,1.10541e+24,1.13759e+24
0.002686,1.11821e+24,1.15098e+24
0.0026945,1.1312e+24,1.16456e+24
0.002703,1.14437e+24,1.17834e+24
0.0027115,1.15775e+24,1.19233e+24
0.00272,1.17131e+24,1.20653e+24
0.0027285,1.18508e+24,1.22095e+24
0.002737,1.19905e+24,1.23557e+24
0.0027455,1.21323e+24,1.25042e+24
0.002754,1.22762e+24,1.26549e+24
0.0027625,1.24221e+24,1.28078e+24
0.002771,1.25703e+24,1.29631e+24
0.0027795,1.27206e+24,1.31206e+24
0.002788,1.28732e+24,1.32806e+24
0.0027965,1.3028e+24,1.3443e+24
0.002805,1.31851e+24,1.36078e+24
0.0028135,1.33446e+24,1.37751e+24
0.002822,1.35064e+24,1.39449e+24
0.0028305,1.36707e+24,1.41173e+24
0.002839,1.38374e+24,1.42923e+24
0.0028475,1.40065e+24,1.447e+24
0.002856,1.41782e+24,1.46503e+24
0.0028645,1.43525e+24,1.48334e+24
0.002873,1.45294e+24,1.50193e+24
0.0028815,1.47089e+24,1.5208e+24
0.00289,1.48911e+24,1.53996e+24
0.0028985,1.5076e+24,1.55941e+24
0.002907,1.52637e+24,1.57916e+24
0.0029155,1.54543e+24,1.5992e+24
0.002924,1.56477e+24,1.61956e+24
0.0029325,1.58439e+24,1.64022e+24
0.002941,1.60432e+24,1.6612e+24
0.0029495,1.62454e+24,1.68251e+24
0.002958,1.64507e+24,1.70413e+24
0.0029665,1.66591e+24,1.72609e+24
0.002975,1.68706e+24,1.74839e+24
0.0029835,1.70853e+24,1.77103e+24
0.002992,1.73033e+24,1.79402e+24
0.0030005,1.75245e+24,1.81736e+24
0.003009,1.77491e+24,1.84106e+24
0.0030175,1.79771e+24,1.86512e+24
0.003026,1.82086e+24,1.88955e+24
0.0030345,1.84435e+24,1.91436e+24
0.003043,1.8682e+24,1.93956e+24
0.0030515,1.89241e+24,1.96514e+24
0.00306,1.91698e+24,1.99111e+24
0.0030685,1.94193e+24,2.01749e+24
0.003077,1.96726e+24,2.04427e+24
0.0030855,1.99297e+24,2.07146e+24
0.003094,2.01907e+24,2.09908e+24
0.0031025,2.04557e+24,2.12712e+24
0.003111,2.07247e+24,2.1556e+24
0.0031195,2.09978e+24,2.18451e+24
0.003128,2.1275e+24,2.21388e+24
0.0031365,2.15564e+24,2.24369e+24
0.003145,2.18421e+24,2.27397e+24
0.0031535,2.21322e+24,2.30472e+24
0.003162,2.24266e+24,2.33594e+24
0.0031705,2.27255e+24,2.36764e+24
0.003179,2.3029e+24,2.39984e+24
0.0031875,2.33371e+24,2.43253e+24
0.003196,2.36498e+24,2.46573e+24
0.0032045,2.39673e+24,2.49944e+24
0.003213,2.42896e+24,2.53367e+24
0.0032215,2.46168e+24,2.56843e+24
0.00323,2.49489e+24,2.60373e+24
0.0032385,2.52861e+24,2.63958e+24
0.003247,2.56284e+24,2.67597e+24
0.0032555,2.59759e+24,2.71294e+24
0.003264,2.63287e+24,2.75047e+24
0.0032725,2.66868e+24,2.78858e+24
0.003281,2.70503e+24,2.82727e+24
0.0032895,2.74194e+24,2.86657e+24
0.003298,2.7794e+24,2.90647e+24
0.0033065,2.81742e+24,2.94698e+24
0.003315,2.85602e+24,2.98812e+24
0.0033235,2.89521e+24,3.02989e+24
0.003332,2.93498e+24,3.0723e+24
0.0033405,2.97536e+24,3.11536e+24
0.003349,3.01634e+24,3.15909e+24
0.0033575,3.05794e+24,3.20348e+24
0.003366,3.10016e+24,3.24856e+24
0.0033745,3.14302e+24,3.29432e+24
0.003383,3.18652e+24,3.34079e+24
0.0033915,3.23067e+24,3.38796e+24
0.0034,3.27549e+24,3.43585e+24
0.0034085,3.32097e+24,3.48447e+24
0.003417,3.36713e+24,3.53383e+24
0.0034255,3.41399e+24,3.58394e+24
0.003434,3.46153e+24,3.63482e+24
0.0034425,3.50979e+24,3.68646e+24
0.003451,3.55876e+24,3.73888e+24
