t(s),Flux surface 9: solute,Flux surface 10: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 8,Total 3 volume 7,Total 4 volume 6,Total 5 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
7196702.08071535,4312294366873782.0,953954049.6381284,8.774169586753255e+18,4.104965692163542e+17,8.133395413914395e+17,5.58664406477087e+20,0.0,20583191314445.7,13574032155774.082,7.2898510752308126e+19,5.674385760638359e+20,4.105171524076679e+17,7.371186386773183e+19
7566537.184751118,4311665892341350.0,-103250850.86168495,8.799627166535404e+18,4.2580729224036525e+17,8.915054303764445e+17,5.677622065721666e+20,0.0,21390965920934.914,14915616492961.402,8.103432777657588e+19,5.7656183373870065e+20,4.258286832062857e+17,8.192584812256872e+19
7954864.043988674,4311079127215355.5,-2062840397.9079425,8.824432064025241e+18,4.409590158535119e+17,9.735082712618157e+17,5.768441080403669e+20,0.0,22192723129367.746,16327556044442.512,8.972280582453512e+19,5.856685401043922e+20,4.409812085766414e+17,9.069633042335277e+19
8362607.246188108,4310531038014955.0,-5235423654.331975,8.848599826527843e+18,4.5591427341777344e+17,1.0594334138436403e+18,5.859144337866509e+20,0.0,22985908570308.246,17811681657698.758,9.898789783288401e+19,5.947630336131739e+20,4.55937259326344e+17,1.000473490584093e+20
8750934.105425663,4310061448390107.5,-9398753392.095041,8.870188690449099e+18,4.697177062094906e+17,1.1411068914724945e+18,5.941632691605823e+20,0.0,23720530939671.242,19226336545686.96,1.0793322354343793e+20,6.030334578510226e+20,4.697414267404313e+17,1.0907434966124683e+20
9158677.307625096,4309617986769184.5,-15149346936.31923,8.891347505021083e+18,4.832161254017865e+17,1.2265661305651456e+18,6.024405710976899e+20,0.0,24439647479721.43,20710709732546.55,1.174408547773862e+20,6.11331918602714e+20,4.832405650492663e+17,1.1866744161866077e+20
9547004.166862652,4309234515980519.5,-21955461848.539818,8.910358179751737e+18,4.95917960445953e+17,1.3077385337715564e+18,6.09995720230099e+20,0.0,25118874102427.57,22124159668877.6,1.2659849591853025e+20,6.189060784098393e+20,4.959430793200554e+17,1.279062565764618e+20
9954747.369062085,4308869321669020.0,-30628877812.25572,8.92906461118332e+18,5.0819801914198515e+17,1.3925896836946885e+18,6.176078250345853e+20,0.0,25775365532951.785,23605403453122.453,1.3630768471417672e+20,6.265368896457702e+20,5.0822379450751776e+17,1.3770029800327473e+20
10343074.22829964,4308551297983587.5,-40305051312.78083,8.945956046366677e+18,5.199680948704408e+17,1.4731443976972846e+18,6.24577734778156e+20,0.0,26407377346870.445,25014831335306.617,1.4564232799988852e+20,6.335236908245255e+20,5.199945022477878e+17,1.4711549741241701e+20
10750817.430499073,4308246321489543.5,-52037113438.9711,8.96265131682254e+18,5.3131571224926445e+17,1.5573176052561032e+18,6.316228436055948e+20,0.0,27015598929945.836,26490948197071.8,1.555225823966999e+20,6.405854949224174e+20,5.3134272784819334e+17,1.5707992649290423e+20
