"arc_length","solute_mu","solute_c"
0.001052,4.74002e+19,6.05884e+19
0.001056,4.72002e+19,6.04386e+19
0.00106,4.70002e+19,6.02887e+19
0.001064,4.68002e+19,6.01389e+19
0.001068,4.66002e+19,5.9989e+19
0.001072,4.64002e+19,5.98392e+19
0.001076,4.62002e+19,5.96893e+19
0.00108,4.60002e+19,5.95395e+19
0.001084,4.58002e+19,5.93896e+19
0.001088,4.56002e+19,5.92398e+19
0.001092,4.54002e+19,5.90899e+19
0.001096,4.52002e+19,5.894e+19
0.0011,4.50002e+19,5.87902e+19
0.001104,4.48002e+19,5.86403e+19
0.001108,4.46002e+19,5.84905e+19
0.001112,4.44002e+19,5.83406e+19
0.001116,4.42002e+19,5.81908e+19
0.00112,4.40002e+19,5.80409e+19
0.001124,4.38002e+19,5.78911e+19
0.001128,4.36002e+19,5.77412e+19
0.001132,4.34002e+19,5.75914e+19
0.001136,4.32002e+19,5.74415e+19
0.00114,4.30002e+19,5.72917e+19
0.001144,4.28002e+19,5.71418e+19
0.001148,4.26002e+19,5.69919e+19
0.001152,4.24002e+19,5.68421e+19
0.001156,4.22002e+19,5.66922e+19
0.00116,4.20002e+19,5.65424e+19
0.001164,4.18002e+19,5.63925e+19
0.001168,4.16002e+19,5.62427e+19
0.001172,4.14002e+19,5.60928e+19
0.001176,4.12002e+19,5.5943e+19
0.00118,4.10002e+19,5.57931e+19
0.001184,4.08002e+19,5.56433e+19
0.001188,4.06002e+19,5.54934e+19
0.001192,4.04002e+19,5.53436e+19
0.001196,4.02002e+19,5.51937e+19
0.0012,4.00002e+19,5.50439e+19
0.001204,3.98002e+19,5.4894e+19
0.001208,3.96002e+19,5.47441e+19
0.001212,3.94002e+19,5.45943e+19
0.001216,3.92002e+19,5.44444e+19
0.00122,3.90002e+19,5.42946e+19
0.001224,3.88002e+19,5.41447e+19
0.001228,3.86002e+19,5.39949e+19
0.001232,3.84002e+19,5.3845e+19
0.001236,3.82002e+19,5.36952e+19
0.00124,3.80002e+19,5.35453e+19
0.001244,3.78002e+19,5.33955e+19
0.001248,3.76002e+19,5.32456e+19
0.001252,3.74002e+19,5.30957e+19
0.001256,3.72002e+19,5.29459e+19
0.00126,3.70002e+19,5.2796e+19
0.001264,3.68002e+19,5.26462e+19
0.001268,3.66002e+19,5.24963e+19
0.001272,3.64002e+19,5.23465e+19
0.001276,3.62002e+19,5.21966e+19
0.00128,3.60002e+19,5.20468e+19
0.001284,3.58002e+19,5.18969e+19
0.001288,3.56002e+19,5.17471e+19
0.001292,3.54002e+19,5.15972e+19
0.001296,3.52002e+19,5.14474e+19
0.0013,3.50002e+19,5.12975e+19
0.001304,3.48002e+19,5.11477e+19
0.001308,3.46002e+19,5.09978e+19
0.001312,3.44002e+19,5.08479e+19
0.001316,3.42003e+19,5.06981e+19
0.00132,3.40003e+19,5.05482e+19
0.001324,3.38002e+19,5.03984e+19
0.001328,3.36002e+19,5.02485e+19
0.001332,3.34003e+19,5.00987e+19
0.001336,3.32003e+19,4.99488e+19
0.00134,3.30002e+19,4.9799e+19
0.001344,3.28003e+19,4.96491e+19
0.001348,3.26003e+19,4.94993e+19
0.001352,3.24003e+19,4.93494e+19
0.001356,3.22003e+19,4.91995e+19
0.00136,3.20003e+19,4.90497e+19
0.001364,3.18003e+19,4.88998e+19
0.001368,3.16003e+19,4.875e+19
0.001372,3.14003e+19,4.86001e+19
0.001376,3.12003e+19,4.84503e+19
0.00138,3.10003e+19,4.83004e+19
0.001384,3.08003e+19,4.81506e+19
0.001388,3.06003e+19,4.80007e+19
0.001392,3.04003e+19,4.78509e+19
0.001396,3.02003e+19,4.7701e+19
0.0014,3.00003e+19,4.75512e+19
0.001404,2.98003e+19,4.74013e+19
0.001408,2.96003e+19,4.72515e+19
0.001412,2.94003e+19,4.71016e+19
0.001416,2.92003e+19,4.69517e+19
0.00142,2.90003e+19,4.68019e+19
0.001424,2.88003e+19,4.6652e+19
0.001428,2.86003e+19,4.65022e+19
0.001432,2.84003e+19,4.63523e+19
0.001436,2.82003e+19,4.62025e+19
0.00144,2.80003e+19,4.60526e+19
0.001444,2.78003e+19,4.59028e+19
0.001448,2.76003e+19,4.57529e+19
0.001452,2.74003e+19,4.56031e+19
0.001456,2.72003e+19,4.54532e+19
0.00146,2.70003e+19,4.53034e+19
0.001464,2.68003e+19,4.51535e+19
0.001468,2.66003e+19,4.50036e+19
0.001472,2.64003e+19,4.48538e+19
0.001476,2.62003e+19,4.47039e+19
0.00148,2.60003e+19,4.45541e+19
0.001484,2.58003e+19,4.44042e+19
0.001488,2.56003e+19,4.42544e+19
0.001492,2.54003e+19,4.41045e+19
0.001496,2.52003e+19,4.39547e+19
0.0015,2.50003e+19,4.38048e+19
0.001504,2.48003e+19,4.3655e+19
0.001508,2.46003e+19,4.35051e+19
0.001512,2.44003e+19,4.33553e+19
0.001516,2.42003e+19,4.32054e+19
0.00152,2.40003e+19,4.30555e+19
0.001524,2.38003e+19,4.29057e+19
0.001528,2.36003e+19,4.27558e+19
0.001532,2.34003e+19,4.2606e+19
0.001536,2.32003e+19,4.24561e+19
0.00154,2.30003e+19,4.23063e+19
0.001544,2.28003e+19,4.21564e+19
0.001548,2.26003e+19,4.20066e+19
0.001552,2.24003e+19,4.18567e+19
0.001556,2.22003e+19,4.17069e+19
0.00156,2.20003e+19,4.1557e+19
0.001564,2.18003e+19,4.14072e+19
0.001568,2.16003e+19,4.12573e+19
0.001572,2.14003e+19,4.11074e+19
0.001576,2.12003e+19,4.09576e+19
0.00158,2.10003e+19,4.08077e+19
0.001584,2.08003e+19,4.06579e+19
0.001588,2.06003e+19,4.0508e+19
0.001592,2.04003e+19,4.03582e+19
0.001596,2.02003e+19,4.02083e+19
0.0016,2.00003e+19,4.00585e+19
0.001604,1.98003e+19,3.99086e+19
0.001608,1.96003e+19,3.97588e+19
0.001612,1.94003e+19,3.96089e+19
0.001616,1.92003e+19,3.94591e+19
0.00162,1.90003e+19,3.93092e+19
0.001624,1.88003e+19,3.91593e+19
0.001628,1.86003e+19,3.90095e+19
0.001632,1.84003e+19,3.88596e+19
0.001636,1.82003e+19,3.87098e+19
0.00164,1.80003e+19,3.85599e+19
0.001644,1.78003e+19,3.84101e+19
0.001648,1.76003e+19,3.82602e+19
0.001652,1.74003e+19,3.81104e+19
0.001656,1.72003e+19,3.79605e+19
0.00166,1.70003e+19,3.78107e+19
0.001664,1.68003e+19,3.76608e+19
0.001668,1.66003e+19,3.7511e+19
0.001672,1.64003e+19,3.73611e+19
0.001676,1.62003e+19,3.72112e+19
0.00168,1.60003e+19,3.70614e+19
0.001684,1.58003e+19,3.69115e+19
0.001688,1.56003e+19,3.67617e+19
0.001692,1.54003e+19,3.66118e+19
0.001696,1.52003e+19,3.6462e+19
0.0017,1.50003e+19,3.63121e+19
0.001704,1.48003e+19,3.61623e+19
0.001708,1.46003e+19,3.60124e+19
0.001712,1.44003e+19,3.58626e+19
0.001716,1.42003e+19,3.57127e+19
0.00172,1.40003e+19,3.55629e+19
0.001724,1.38003e+19,3.5413e+19
0.001728,1.36003e+19,3.52631e+19
0.001732,1.34003e+19,3.51133e+19
0.001736,1.32003e+19,3.49634e+19
0.00174,1.30003e+19,3.48136e+19
0.001744,1.28003e+19,3.46637e+19
0.001748,1.26003e+19,3.45139e+19
0.001752,1.24003e+19,3.4364e+19
0.001756,1.22003e+19,3.42142e+19
0.00176,1.20003e+19,3.40643e+19
0.001764,1.18003e+19,3.39145e+19
0.001768,1.16003e+19,3.37646e+19
0.001772,1.14003e+19,3.36148e+19
0.001776,1.12003e+19,3.34649e+19
0.00178,1.10003e+19,3.33151e+19
0.001784,1.08003e+19,3.31652e+19
0.001788,1.06003e+19,3.30153e+19
0.001792,1.04003e+19,3.28655e+19
0.001796,1.02003e+19,3.27156e+19
0.0018,1.00003e+19,3.25658e+19
0.001804,9.80034e+18,3.24159e+19
0.001808,9.60035e+18,3.22661e+19
0.001812,9.40034e+18,3.21162e+19
0.001816,9.20034e+18,3.19664e+19
0.00182,9.00034e+18,3.18165e+19
0.001824,8.80035e+18,3.16667e+19
0.001828,8.60034e+18,3.15168e+19
